,ID,NAZWASEKCJI,WARTOSC,DATA_WPLYWU,WI_KONKURS_ID,TYTUL,SLOWA_KLUCZE,WI_STATUSWNIOSKU_KOD
10,4555,opisProjektuEfekt,"<div align=""justify"">Wymiernym i udokumentowanym efektem podjętego problemu naukowego będzie zintegrowany program komputerowy służący do modelowania rozwoju oraz obrazowania mikrostruktury w procesach gdzie zastosowano bardzo duże odkształcenia plastyczne w celu uzyskania struktury ultradrobnoziarnistej. Możliwość przewidywania ilościowego i jakościowego rozwoju mikrostruktury pozwoli r&oacute;wnież wyznaczyć własności mechaniczne tego typu materiał&oacute;w. W konsekwencji możliwym będzie, przy uwzględnieniu parametr&oacute;w procesu oraz składu chemicznego stali, projektowanie własności mechanicznych w celu uzyskania maksymalnej plastyczności tak trudno osiągalnej w strukturach ultradrobnoziarnistych.</div>
<div align=""justify"">Przewiduje się, że wyniki badań wykorzystane zostaną do napisania dw&oacute;ch prac doktorskich. Powstaną r&oacute;wnież publikacje w renomowanych czasopismach oraz w materiałach konferencyjnych krajowych i zagranicznych. </div>",07/01/25,23,Opracowanie modelu oraz symulacja komputerowa rozwoju struktury w procesach uzyskiwania materiałów drobnoziarnistych,"mikrostruktura, struktura dyslokacyjna, automaty komórkowe, metoda elementów skończonych, własności materiałów, materiały drobnoziarniste",183
11,4575,opisProjektuEfekt,"W trakcie realizacji projektu przewiduje się publikowanie cząstkowych danych florystycznych w czasopismach naukowych lub ich prezentację podczas konferencji (krajowych lub zagranicznych). Dane końcowe zostaną przygotowane w formie gotowego do opublikowania syntetycznego opracowania, napisanego w języku angielskim, dotyczącego zagrożenia r&oacute;żnorodności gatunkowej mch&oacute;w wysokog&oacute;rskich polskich Karkonoszy. <br />Ocena rozprzestrzenienia gatunk&oacute;w synantropijnych w szczytowej części masywu zostanie przekazana Dyrekcji Karkonoskiego PN wraz z propozycjami działań ograniczających ten proces. <br />Zebrane dane florystyczne zostaną przygotowane w formie bazy danych oraz punktowych map rozmieszczenia do wykorzystania w Atlasach lub innych opracowaniach dotyczących briogeografii. <br />Zostanie przygotowany kompletny zbi&oacute;r wsp&oacute;łczesnych materiał&oacute;w zielnikowych ze wschodnich Karkonoszy, kt&oacute;ry zostanie zdeponowany w Zielniku Mch&oacute;w IB PAN w Krakowie. <br />",06/12/15,23,Refugia różnorodności gatunkowej mchów wysokogórskich w Karkonoszach polskich i jej zagrożenia.,"mchy wysokogórskie, bioróżnorodność, ekologia, zagrożenie mszaków, synantropizacja brioflory, Karkonosze",173
12,4585,opisProjektuEfekt,"<p style=""TEXT-ALIGN: justify""><span style=""FONT-SIZE: 14pt; FONT-FAMILY: Arial"">Zakłada się publikację wynik&oacute;w w formie oryginalnych prac w&nbsp;czasopismach krajowych i zagranicznych,&nbsp; jak r&oacute;wnież upowszechnianie&nbsp; wynik&oacute;w w czasopismach popularno-naukowych przeznaczonych dla producent&oacute;w.<o:p></o:p></span></p>
<p style=""TEXT-ALIGN: justify""><span style=""FONT-SIZE: 14pt; FONT-FAMILY: Arial"">Przewiduje się prezentację doświadczeń dla członk&oacute;w towarzystw naukowych: Polskiego Towarzystwa Nauk Ogrodniczych, Polskiego Towarzystwa Agrotechnicznego, Polskiego Towarzystwa Gleboznawczego.<o:p></o:p></span></p>
<p style=""TEXT-ALIGN: justify""><span style=""FONT-SIZE: 14pt; FONT-FAMILY: Arial"">Planuje się referaty połączone z prezentacją upraw aeroponicznych dla producent&oacute;w-ogrodnik&oacute;w, zrzeszonych w Polskim Towarzystwie Ogrodniczym, Wielkopolskim Towarzystwie Ogrodniczym, jak r&oacute;wnież w&nbsp;&nbsp;&nbsp;Sp&oacute;łdzielniach Ogrodniczych. <o:p></o:p></span></p>
<p style=""TEXT-ALIGN: justify""><span style=""FONT-SIZE: 14pt; FONT-FAMILY: Arial"">Dotychczasowe pilotowe uprawy aeroponiczne były licznie zwiedzane przez gości zagranicznych, jak r&oacute;wnież student&oacute;w&nbsp; Wydział&oacute;w Biologicznych Uniwersytet&oacute;w&nbsp;i&nbsp; Uczelni Rolniczych.&nbsp; Jest bardzo prawdopodobne, że&nbsp;zainteresowanie&nbsp;aeroponicznymi uprawami nie będzie malało.&nbsp;Została już założona&nbsp;aeroponiczna uprawa anturium na skalę&nbsp;produkcyjną. Przygotowywane są nowe uprawy&nbsp; z innymi roślinami ogrodniczymi.<o:p></o:p></span></p>",07/01/11,23,Aeroponiczna uprawa pomidora szklarniowego (Lycopersicon esculentum Mill.),"aeroponika, uprawa aeroponiczna, pomidor",173
13,4707,opisProjektuEfekt,"<meta content=""text/html; charset=utf-8"" http-equiv=""CONTENT-TYPE"" />
<title></title>
<meta content=""OpenOffice.org 2.1  (Unix)"" name=""GENERATOR"" />
<meta content=""pgolik"" name=""AUTHOR"" />
<meta content=""20070116;11080000"" name=""CREATED"" />
<meta content=""Pawel Golik"" name=""CHANGEDBY"" />
<meta content=""20070116;11262200"" name=""CHANGED"" /> 	 	 	 	 	 	 	<style type=""text/css"">
	<!--
		@page { size: 209.99mm 296.99mm; margin: 20mm }
		P { margin-bottom: 2.12mm }
	-->
	</style>
<p lang=""pl-PL"" align=""justify"" style=""text-indent: 5.01mm; margin-bottom: 0mm; line-height: 150%; widows: 0; orphans: 0;""> Przewidujemy publikację uzyskanych wyników w międzynarodowych czasopismach poświęconych biologii molekularnej i genetyce, a także prezentację na międzynarodowych zjazdach i konferencjach. Uzyskane wyniki mogą też wejść w skład rozprawy doktorskiej mgr. Małeckiego, rozprawy habilitacyjnej kierownika projektu i prac magisterskich wykonywanych w Instytucie Genetyki i Biotechnologii UW. </p>",07/01/26,23,Degradacja i obróbka RNA w mitochondriach drożdży Saccharomyces cerevisiae.,"drożdże, mitochondria, RNA, procesy posttranskrypcyjne, RNaza, helikaza, białka PPR",183
14,4751,opisProjektuEfekt,"<p><strong>Wyniki badań będą stanowiły tezy rozprawy habilitacyjne kierownika projektu.</strong></p>
<p>Wyniki będą publikowane w czasopismach naukowych o zasięgu międzynarodowym, np.: <em>Sugar Industry</em>, <em>Food Additives and Contaminants</em>, <em>International Sugar Journal</em>, i krajowym np.: <em>Gazeta Cukrownicza</em>,<em> Żywność. Nauka. Technologia. Jakość </em>oraz bedą prezentowane na polskich i międzynarodowych konferencjach naukowych.</p>
<p>Wyniki będą r&oacute;wnież prezentowane na konferencjach szkoleniowych organizowanych przez Instytut Chemicznej Technologii Żywności wraz ze Stowarzyszeniem Technik&oacute;w Cukrownik&oacute;w w celu ich bieżącego wdrażania w przemyśle.</p>
<p></p>",07/07/31,27,Ocena jakości i kryteria autentyczności cukru trzcinowego i buraczanego,"cukier buraczany, cukier trzcinowy, zanieczyszczenia techniczne, ocena jakości, AAS, HPLC, HPAE.",183
15,4771,opisProjektuEfekt,"<p align=""justify"">&nbsp;</p>
<div align=""justify""></div>
<div align=""justify"">Autor planuje częściowe wyniki badań, jeszcze przed ostatecznym zakończeniem realizacji zadania, przedstawiać oraz przedyskutowywać podczas konferencji i sympozj&oacute;w krajowych poświęconych problemom geomorfologii, geologii i paleogeografii czwartorzędu. Po zakończeniu badań opublikowane zostaną w czasopismach o zasiegu og&oacute;lnokrajowym artykuły ujmujące kompleksowo uzyskane wyniki. W części niosącej cechy ponadregionalne planuję r&oacute;wnież publikacje w języku angielskim w czasopismach o możliwie szerokim zasiegu międzynarodowym. </div>
<div align=""justify"">W szerszej perspektywie, nie objętej jednak niniejszym wnioskiem, autor widzi możliwość organizacji tematycznych warsztat&oacute;w/konferencji sedymentologicznych w tym zakresie oraz dalszych badań zmierzających do opracowania monografii poświęconej problematyce kemowej. </div>",07/01/29,23,Cechy diagnostyczne sedymentacji w kemach,"kemy, geomorfologia, środowisko glacjalne, osady glacifluwialne, Polska,",173
16,4801,opisProjektuEfekt,"<p style=""text-indent: 36pt; font-family: Arial;"" class=""MsoBodyText""><font size=""3"">Wyniki badań zostaną opublikowane w anglojęzycznych periodykach naukowych.</font></p>",07/01/29,23,Modelowanie molekularne agregatów antybiotyku przeciwgrzybowego amfoterycyny B,amfoterycyna B; chemoterapeutyk przeciwgrzybowy; agregacja; modelowanie molekularne; dynamika molekularna; symulacja komputerowa,173
17,4808,opisProjektuEfekt,"<p style=""margin-bottom: 0cm; font-family: Times New Roman;""><font size=""3"">    Uzyskane wyniki zostaną przedstawione w formie publikacji zarówno w czasopismach krajowych jak i zagranicznych, oraz zaprezentowane na konferencjach. Mogą być one również pomocne przy normalizacji wybranych odmian miodu.  </font></p>",07/01/23,23,Właściwości fizykochemiczne miodów z pasiek Polski południowo-wschodniej,"miód, analiza składu, reologia, właściwości fizykochemiczne",173
18,4813,opisProjektuEfekt,"Wymiernym i udokumentowanym efektem podjętego problemu będzie szereg publikacji w języku angielskim i polskim oraz 2-4 referaty na konferencjach krajowych i zagranicznych. Projekt badawczy będzie stanowił początkowy etap prac nad metodami kształtowania wsp&oacute;łczesnej postaci lasu zagospodarowanego, a opublikowane wyniki będą przydatne w praktyce gospodarczej leśnictwa, a także w ochronie przyrody.",07/01/24,23,Rola wybranych gatunków drzew w procesie regeneracji lasu zagospodarowanego,"regeneracja lasu, las dwugeneracyjny, grąd środkowoeuropejski, siedlisko, przebudowa drzewostanu",173
19,4817,opisProjektuEfekt,"<p class=""MsoNormal"" style=""text-align: justify; text-indent: 18pt;"">Wyniki badań będą opublikowane w czasopismach z tzw. listy filadelfijskiej (<em>Dendrochronologia</em>, <em>Geomorphology</em>) oraz w czasopismach krajowych. Zamierzeniem wykonawców projektu jest również prezentacja rezultatów prac badawczych na konferencjach krajowych oraz międzynarodowych, m.in :<o:p></o:p></p>
<p class=""MsoNormal"" style=""text-align: justify; text-indent: 18pt;""><span lang=""EN-US"" style="""">- INTERPRAEVENT  &quot;Protection of human habitats against floods, debris flows, snow avalanches and slope movements&quot;,    2008 Dornbirn, Austria<o:p></o:p></span></p>
<p class=""MsoNormal"" style=""text-align: justify; text-indent: 18pt;""><span lang=""EN-US"" style="""">- Association for Tree-Ring Research “<em>TRACE-Tree Rings in Archeology, Climatolgy and Ecology</em>” 2008, Poland<o:p></o:p></span></p>
<p class=""MsoNormal"" style=""text-align: justify; text-indent: 18pt;""><span lang=""EN-US"" style="""">- International Association of Geomorphologists &quot;<em>International Geomorphology Conference</em>&quot; 2009 Melbourne, Australia<o:p></o:p></span></p>
<p class=""MsoNormal"" style=""text-align: justify; text-indent: 18pt;"">Rezultaty badań będą stanowiły część rozprawy habilitacyjnej dr Piotra Owczarka oraz dr Agnieszki Latochy i dr Krzysztofa Parzócha. Zakupione w ramach projektu urządzenia badawcze wzbogacą laboratorium Instytutu Geografii i Rozwoju Regionalnego Uniwersytetu Wrocławskiego. Stanowisko do badań dendrochronologicznych dotychczas nie zostało utworzone w tej jednostce naukowej. Zakup urządzeń pozwoli rozwinąć warsztat badawczy instytutu nie tylko w celach naukowych, ale również dydaktycznych.<o:p></o:p></p>",07/01/30,23,Dendrochronologiczny zapis przebiegu procesów stokowych w górach średnich,"dendrochronologia, czynniki wzrostu drzew, procesy stokowe, erozja, depozycja",173
20,4834,opisProjektuEfekt,"Badania dynamiki impulsowego zagęszczania podjęte w ramach wnioskowanego projektu, będą stanowiły podstawę realizowanej <span style=""font-weight: bold;"">pracy doktorskiej</span> oraz dostarczą materiałów do publikacji naukowych i referatów na konferencjach krajowych i zagranicznych.",07/01/25,23,Matematyczny model 3D procesu impulsowego zagęszczania mas formierskich. Badania symulacyjne i eksperymentalne,"masa formierska, zagęszczanie impulsowe, model reologiczny, model matematyczny, model 3D, badania symulacyjne, badania eksperymentalne",173
